CUSTOMER_CODE|ACCOUNT_NUMBER|CUSTOMER_NAME|SHOP_NUMBER|STREET_NUMBER|STREET_NAME|STREET_TYPE|CITY|STATE|POSTCODE|COUNTRY_CODE
A03032|1C2922|YUSEN AIR & SEA SVCE  NC|SUITE 700|100|SOUTH CENTER|COURT|RDU|NSW|2019|AU
007001||QUICK INTL COURIER, NEW YORK|SUITE 150|17528|148TH|AVE|JAMAICA|VIC|3042|AU
007004|61996|QUICK INTERNATIONAL COURIER|SUITE 180|1550|NA|NA|CHI|QLD|4009|AU
007005||QUICK INTL COURIER,|SUITE 301|1300|E. FRANKLIN|AVENUE|LAX|QLD|4009|AU
007009||QUICK INTERNATIONAL COURIER|SUITE C|3800|NA|NA|ROA|WA|6105|AU
008001||DSV|SUITE 134|480|NA|NA|EWR|NSW|2020|AU
008002||DSV AIR & SEA INC|SUITE 101|8380|N. ARLINGTON HEIGHTS|ROAD|ORD|VIC|3043|AU
008004||DSV AIR & SEA||13410|CAMP CREEK|PARKWAY|ATL|QLD|4007|AU
008005||DSV AIR & SEA||7525|NA|NA|ORL|SA|5015|AU
008006||DSV AIR & SEA||15311|MCCLELLAN|HIGHWAY|BOS|WA|6058|AU
008008||DAN TRANSPORT CORP, SEATTLE||4429|NA|NA|SEA|CALIFORNIA|90015|US
008011||DSV AIR & SEA||850|NA|NA|SFO|NY|11413|US
009001||WORLD CONNECTIONS, LOS ANGELES|||ISIS|AVENUE|LAX|NYC|11418|US
013001||LANDSTAR EXPRESS AMER, JACKSONVILLE|||SUTTON PARK|DRIVE|JAX|NC|28273|US
013025||LANDSTAR EXPRESS AMERICA, BALTIMORE|||CONNELLEY|DRIVE|BWI|TN|55121|US
013070||LANDSTAR EXPRESS-HOUSTON|||W. VANTAGE|PARKWAY|IAH|CALIFORNIA|38118|US
013083||LANDSTAR EXPRESS AMERICA|||MALAAI|STREET|HNL||92126|US
016004||AERONET AIR CARGO|||MITTEN|ROAD|SFO|||IT



















































